ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	ai.cyr3con.gargoyl3.gatling.simulations.VulnerabilitiesSimulation	vulnerabilitiessimulation	1646738112385	 	3.3.1
USER	get rankings historical search (from Mongo)	2	START	1646738113977	1646738113977
USER	get rankings historical search (from Mongo)	1	START	1646738113977	1646738113977
USER	get rankings historical search (from Mongo)	5	START	1646738113982	1646738113982
USER	get rankings historical search (from Mongo)	4	START	1646738113979	1646738113979
USER	get rankings historical search (from Mongo)	3	START	1646738113977	1646738113977
USER	get rankings historical search (from ES)	6	START	1646738114000	1646738114000
USER	get rankings historical search (from ES)	7	START	1646738114001	1646738114001
USER	get rankings historical search (from ES)	9	START	1646738114002	1646738114002
USER	get rankings historical search (from ES)	8	START	1646738114002	1646738114002
USER	get rankings historical search (from ES)	10	START	1646738114003	1646738114003
USER	get info details	12	START	1646738114003	1646738114003
USER	get info details	13	START	1646738114004	1646738114004
USER	get info details	11	START	1646738114003	1646738114003
USER	get info details	15	START	1646738114005	1646738114005
USER	get info details	14	START	1646738114005	1646738114005
USER	get info details	16	START	1646738114014	1646738114014
USER	get info details	17	START	1646738114023	1646738114023
USER	get info details	18	START	1646738114023	1646738114023
USER	get info details	20	START	1646738114025	1646738114025
USER	get vulnerabilities info (authorized, from Mongo)	21	START	1646738114026	1646738114026
USER	get vulnerabilities info (authorized, from Mongo)	22	START	1646738114027	1646738114027
USER	get vulnerabilities info (authorized, from Mongo)	23	START	1646738114028	1646738114028
USER	get vulnerabilities info (authorized, from Mongo)	24	START	1646738114029	1646738114029
USER	get vulnerabilities info (authorized, from Mongo)	25	START	1646738114029	1646738114029
USER	get CVE metadata	28	START	1646738114029	1646738114029
USER	get CVE metadata	29	START	1646738114029	1646738114029
USER	get CVE metadata	30	START	1646738114030	1646738114030
USER	get CVE metadata	27	START	1646738114029	1646738114029
USER	get CVE metadata	31	START	1646738114030	1646738114030
USER	get CVE metadata	32	START	1646738114030	1646738114030
USER	get CVE metadata	33	START	1646738114030	1646738114030
USER	get CVE metadata	35	START	1646738114030	1646738114030
USER	get CVE metadata	34	START	1646738114030	1646738114030
USER	get CVE metadata	36	START	1646738114031	1646738114031
USER	get CVEs by CyRating	37	START	1646738114031	1646738114031
USER	get CVEs by CyRating	38	START	1646738114031	1646738114031
USER	get CVEs by CyRating	39	START	1646738114031	1646738114031
USER	get info details	19	START	1646738114024	1646738114024
USER	get CVEs by CyRating	40	START	1646738114031	1646738114031
USER	get CVEs by CyRating	41	START	1646738114032	1646738114032
USER	get CVEs by CyRating	42	START	1646738114032	1646738114032
USER	get CVEs by CyRating	44	START	1646738114032	1646738114032
USER	get CVEs by CyRating	43	START	1646738114032	1646738114032
USER	get CVEs by CyRating	45	START	1646738114032	1646738114032
USER	get rankings top	47	START	1646738114032	1646738114032
USER	get CVEs by CyRating	46	START	1646738114032	1646738114032
USER	get rankings top	48	START	1646738114033	1646738114033
USER	get rankings top	49	START	1646738114033	1646738114033
USER	get rankings top	50	START	1646738114033	1646738114033
USER	get rankings top	51	START	1646738114033	1646738114033
USER	get rankings top	52	START	1646738114033	1646738114033
USER	get rankings top	53	START	1646738114034	1646738114034
USER	get rankings top	54	START	1646738114034	1646738114034
USER	get rankings top	55	START	1646738114034	1646738114034
USER	get rankings top	56	START	1646738114034	1646738114034
USER	get rankings CVE timeline	57	START	1646738114034	1646738114034
USER	get rankings CVE timeline	59	START	1646738114034	1646738114034
USER	get rankings CVE timeline	60	START	1646738114034	1646738114034
USER	get rankings CVE timeline	61	START	1646738114035	1646738114035
USER	get rankings CVE timeline	62	START	1646738114035	1646738114035
USER	get rankings CVE timeline	63	START	1646738114035	1646738114035
USER	get rankings CVE timeline	64	START	1646738114035	1646738114035
USER	get rankings CVE timeline	65	START	1646738114036	1646738114036
USER	get rankings CVE timeline	66	START	1646738114036	1646738114036
USER	get random vulnerabilities info (from Mongo)	67	START	1646738114036	1646738114036
USER	get random vulnerabilities info (from Mongo)	68	START	1646738114036	1646738114036
USER	get random vulnerabilities info (from Mongo)	69	START	1646738114037	1646738114037
USER	get random vulnerabilities info (from Mongo)	70	START	1646738114037	1646738114037
USER	get random vulnerabilities info (from Mongo)	71	START	1646738114037	1646738114037
USER	get random vulnerabilities info (from Mongo)	72	START	1646738114052	1646738114052
USER	get random vulnerabilities info (from Mongo)	73	START	1646738114052	1646738114052
USER	get random vulnerabilities info (from Mongo)	74	START	1646738114053	1646738114053
USER	get random vulnerabilities info (from Mongo)	75	START	1646738114053	1646738114053
USER	get random vulnerabilities info (from Mongo)	76	START	1646738114053	1646738114053
USER	get rankings CVE timeline	58	START	1646738114034	1646738114034
USER	get rankings low base score	78	START	1646738114067	1646738114067
USER	get rankings low base score	79	START	1646738114093	1646738114093
USER	get rankings low base score	80	START	1646738114093	1646738114093
USER	get rankings low base score	82	START	1646738114095	1646738114095
USER	get rankings low base score	83	START	1646738114096	1646738114096
USER	get rankings low base score	84	START	1646738114096	1646738114096
USER	get rankings low base score	85	START	1646738114097	1646738114097
USER	get rankings low base score	86	START	1646738114097	1646738114097
USER	get rankings low base score	87	START	1646738114097	1646738114097
USER	get vulnerabilities info (authorized, from ES)	88	START	1646738114097	1646738114097
USER	get vulnerabilities info (authorized, from ES)	89	START	1646738114098	1646738114098
USER	get vulnerabilities info (authorized, from ES)	90	START	1646738114098	1646738114098
USER	get vulnerabilities info (authorized, from ES)	92	START	1646738114098	1646738114098
USER	get vulnerabilities info (authorized, from ES)	91	START	1646738114098	1646738114098
USER	get vulnerabilities statistics	93	START	1646738114099	1646738114099
USER	get vulnerabilities statistics	94	START	1646738114099	1646738114099
USER	get vulnerabilities statistics	95	START	1646738114099	1646738114099
USER	get vulnerabilities statistics	96	START	1646738114099	1646738114099
USER	get vulnerabilities statistics	97	START	1646738114099	1646738114099
USER	get vulnerabilities statistics	99	START	1646738114106	1646738114106
USER	get vulnerabilities statistics	100	START	1646738114107	1646738114107
USER	get vulnerabilities statistics	101	START	1646738114107	1646738114107
USER	get vulnerabilities statistics	102	START	1646738114108	1646738114108
USER	get vulnerabilities essentials (authorized)	103	START	1646738114108	1646738114108
USER	get vulnerabilities info (unauthorized)	77	START	1646738114053	1646738114053
USER	get vulnerabilities essentials (authorized)	104	START	1646738114108	1646738114108
USER	get vulnerabilities essentials (authorized)	105	START	1646738114109	1646738114109
USER	get vulnerabilities essentials (authorized)	106	START	1646738114109	1646738114109
USER	get vulnerabilities essentials (unauthorized)	26	START	1646738114029	1646738114029
USER	get rankings low base score	81	START	1646738114095	1646738114095
USER	get vulnerabilities essentials (authorized)	109	START	1646738114113	1646738114113
USER	get vulnerabilities essentials (authorized)	107	START	1646738114109	1646738114109
USER	get vulnerabilities essentials (authorized)	110	START	1646738114114	1646738114114
USER	get vulnerabilities essentials (authorized)	112	START	1646738114114	1646738114114
USER	get vulnerabilities essentials (authorized)	111	START	1646738114114	1646738114114
USER	get rankings recent	113	START	1646738114114	1646738114114
USER	get rankings recent	114	START	1646738114114	1646738114114
USER	get rankings recent	115	START	1646738114114	1646738114114
USER	get rankings recent	116	START	1646738114115	1646738114115
USER	get rankings recent	118	START	1646738114115	1646738114115
USER	get rankings recent	117	START	1646738114115	1646738114115
USER	get rankings recent	119	START	1646738114115	1646738114115
USER	get rankings recent	120	START	1646738114116	1646738114116
USER	get rankings recent	121	START	1646738114116	1646738114116
USER	get rankings recent	122	START	1646738114116	1646738114116
USER	get random vulnerabilities info (from ES)	123	START	1646738114117	1646738114117
USER	get random vulnerabilities info (from ES)	124	START	1646738114119	1646738114119
USER	get vulnerabilities statistics	98	START	1646738114099	1646738114099
USER	get random vulnerabilities info (from ES)	126	START	1646738114120	1646738114120
USER	get random vulnerabilities info (from ES)	127	START	1646738114120	1646738114120
USER	get vulnerabilities essentials (authorized)	108	START	1646738114113	1646738114113
USER	get random vulnerabilities info (from ES)	130	START	1646738114121	1646738114121
USER	get random vulnerabilities info (from ES)	128	START	1646738114120	1646738114120
USER	get random vulnerabilities info (from ES)	129	START	1646738114120	1646738114120
USER	get random vulnerabilities info (from ES)	132	START	1646738114121	1646738114121
USER	get random vulnerabilities info (from ES)	125	START	1646738114120	1646738114120
USER	get random vulnerabilities info (from ES)	131	START	1646738114121	1646738114121
REQUEST	26		vulnerability essentials	1646738114110	1646738114549	OK	 
USER	get vulnerabilities essentials (unauthorized)	26	END	1646738114029	1646738114596
REQUEST	77		info	1646738114108	1646738114698	OK	 
USER	get vulnerabilities info (unauthorized)	77	END	1646738114053	1646738114704
REQUEST	27		cve metadata	1646738114135	1646738114605	OK	 
USER	get CVE metadata	27	END	1646738114029	1646738114753
REQUEST	12		info details	1646738114088	1646738114620	OK	 
USER	get info details	12	END	1646738114003	1646738114771
REQUEST	28		cve metadata	1646738114134	1646738114773	OK	 
USER	get CVE metadata	28	END	1646738114029	1646738114780
REQUEST	15		info details	1646738114138	1646738114754	OK	 
USER	get info details	15	END	1646738114005	1646738114793
REQUEST	33		cve metadata	1646738114137	1646738114805	OK	 
USER	get CVE metadata	33	END	1646738114030	1646738114815
REQUEST	60		rankings - CVE timeline	1646738114151	1646738114783	OK	 
USER	get rankings CVE timeline	60	END	1646738114034	1646738114823
REQUEST	57		rankings - CVE timeline	1646738114140	1646738114816	OK	 
